Timestamp,Topic,Sender,Message
2025-09-23T07:20:57.196Z,"Tesla1","Tesla1","ON"
2025-11-07T10:38:12.352Z,"Tesla1","Tesla1","MODE1"
2025-11-07T10:38:14.083Z,"Tesla1","Tesla1","MODE2"
2025-11-07T10:38:20.897Z,"Tesla1","Tesla1","TM1122"
2025-11-07T10:49:22.081Z,"Tesla1","Tesla1","ON"
2025-11-08T05:12:27.634Z,"Tesla1","Tesla1","ON"
2025-11-08T05:29:05.105Z,"Tesla1","Tesla1","ON"
2025-11-08T05:38:44.580Z,"Tesla1","Tesla1","ON"
2025-11-08T05:39:59.383Z,"Tesla1","Tesla1","ON"
2025-11-08T05:40:38.646Z,"Tesla1","Tesla1","ON"
2025-11-08T05:40:40.997Z,"Tesla1","Tesla1","MODE1"
2025-11-08T05:40:41.145Z,"Tesla1","Tesla1","MODE1"
2025-11-08T05:40:41.158Z,"Tesla1","Tesla1","MODE1"
2025-11-08T05:40:41.989Z,"Tesla1","Tesla1","MODE2"
2025-11-08T05:40:42.141Z,"Tesla1","Tesla1","MODE2"
2025-11-08T05:40:42.157Z,"Tesla1","Tesla1","MODE2"
2025-11-08T05:40:42.637Z,"Tesla1","Tesla1","MODE3"
2025-11-08T05:40:42.791Z,"Tesla1","Tesla1","MODE3"
2025-11-08T05:40:42.800Z,"Tesla1","Tesla1","MODE3"
2025-11-08T05:40:43.269Z,"Tesla1","Tesla1","MODE4"
2025-11-08T05:40:43.429Z,"Tesla1","Tesla1","MODE4"
2025-11-08T05:40:43.479Z,"Tesla1","Tesla1","MODE4"
2025-11-08T05:40:47.445Z,"Tesla1","Tesla1","a"
2025-11-08T05:40:47.601Z,"Tesla1","Tesla1","a"
2025-11-08T05:40:47.614Z,"Tesla1","Tesla1","a"
